Meaning ,Set ,Wari' ,Oro Win ,Wanyam ,Urupá ,Jarú , Torá ,Cojubim ,Moré ,Tapakura ,
Tongue,B ,kapijatʃiʔ ,-,kapijakaʃiʔ ,kapiakasi ,kapiakasi ,kapiakiʃiʔ ,kapajak ,kapajak ,-,kapikakatʃe 
Fingernail,A ,tʃikinatʃiʔ ,sykynesi ,pikinaʃiʔ ,?,pisikinisi ,pesoro ,-,-,-,?
Fingernail,B ,-,-,-,?,-,-,tupi ,tupi ,-,?
Fingernail,C ,-,-,-,?,-,-,-,-,naimitʃi ,?
Foot,A ,katʃimatʃiʔ ,-,katimaʃiʔ ,katimasi ,katimasi ,kazima ,-,-,kaimatʃi ,kaimatʃe
Foot,B ,pitʃijatʃiʔ ,pasomasi ,-,-,-,-,-,-,-,-
Foot,C ,-,-,-,-,-,ʃikiniʃi ,tʃinak ,tʃinak ,tʃikitʃi ,-
Leg,A,kokotʃiʔ ,fokisi ,hokiʃiʔ ,?,ekisi ,hok ,pok ,pok ,ukutʃi ,kohotʃi
Knee,A ,karamatʃiʔ ,makaramasi,warakaramaʃiʔ ,?,-,-,-,-,-,-
Knee,B ,-,mafonasi ,-,?,-,-,-,-,-,-
Knee,C ,-,-,-,?,toketekilipasi ,tukazim ,tokozim ,tukuʒ̟im ,tukaimatʃi ,tukaivatʃe 
Hand,A ,mitʃiʔ ,-,-,-,-,umu ,-,um,umitʃi ,umajo 
Hand,B ,taparatʃiʔ,tiprasi ,tiparaʃiʔ ,tiprasi ,tiprasi ,tipara ,tipan ,tipan ,itʃoparatʃi ,tʃeparaju 
Wing,A,tapatʃi ,napatinan ,nipat ,?,-,?,nipat ,nipat ,hipatʃi,ipati-ko 
Belly,A ,-,kimi ,kimijekin ,?,tokotepasi ,tosipa ,-,tim ,tekematʃe ,kimotʃe 
Belly,B,-,tapawakon ,-,?,-,-,-,-,-,-
Belly,C,-,-,-,?,-,-,tʃakaw ta ,tʃakaw ,-,-
Belly,D,pemenetʃiʔ ,-,- ,?,-,-,-,-,-,-
Guts,A ,monotʃiʔ ,monosi ,-,?,menesi ,?,kirimonʔ ,mukuri mon,amunitʃi ,waememitʃe 
Guts,B ,-,-,karapap wajiʃiʔ ,?,-,?,-,-,-,-
Guts,C,-,-,-,?,-,?,-,-,-,anteretʃe
Neck,A,paramatʃiʔ,oparamasi ,uparamaʃiʔ ,?,upramasi ,patama ,patam ,patam ,-,-
Neck,B ,kanemitʃiʔ ,-,-,?,-,-,-,-,hukiminitʃi ,aikeɲemitʃe 
Back,A ,waratʃiʔ ,arawasi ,awaraʃiʔ ,erawasi ,arawasi ,wuritim ,ataw ,ataw ,otowatʃi ,totojatʃe 
Breast,A ,karatʃitʃiʔ,karatisi ,karatiʃiʔ ,karatisi ,-,katasan ,katat ,katat ,-,-
Breast,B ,kimatʃiʔ ,ikimasi,-,-,ikimasi ,ikima ,-,kima ,-,kematakama 
Heart,A,tʃimitʃiʔ ,timisi,timiʃiʔ ,?,temisi ,timu ,toku ru tim ,tuku ritim ,simitʃi,simitʃe 
Liver,A ,tarawanatʃiʔ ,trawrisi ,tarawaneʃiʔ ,?,trawanasi ,trawana ,tʃawan ,sawan ,?,?
Drink,A ,tok ,tok ,tuka ,tok ,?,tuk ,tok ,tok ,?,kot 
Eat,A ,kaw ,kaw ,kaw ,kaw ,kaw ,kaw ,kawʔ ,kaw ,kaw ,kaw 
Bite,A ,kiw ,kiw ,kiw ,?,-,kiw ,kiwʔ ,kiw ,?,?
Bite,B ,-,-,-,?,tapitʔ ,-,-,-,?,?
Suck,A ,tʃak ,itak ,ʃak ,?,?,?,tʃak ,tʃak ,?,?
Vomit,A ,weʔ ,yweʔ ,we ,?,we ,?,weʔ ,we ,?,?
Breathe,A ,wereme ,woram ,uram ,?,?,?,-,awi ram  ,?,?
Breathe,B ,-,-,-,?,?,?,zak ,ʒ̟ak ,?,?
Laugh,A ,tatamʔ ,tarim ,trahum ,?,?,?,tasam ,tasam ,-,-
Laugh,B ,-,-,-,?,?,?,-,-,matimuiara ,-
Laugh,C,-,-,-,?,?,?,-,-,-,eva 
See,A,kerek ,kirik ,kirik ,?,?,krid ,kirik ,kirik ,kirik ,tirig
Hear,A,-,worapat ,warapat ,?,?,?,rapat ,arapat ,?,?
Fear,A,jinʔ ,ijin ,inin ,?,injin ,ejidn ,ininʔ ,ijin ,?,?
Sleep,A ,piʔ am ,ypen ,ipen ,ypen ,upejamʔ ,upoɲ,upin ,upen ,-,-
Sleep,B ,-,-,-,-,-,-,-,-,watʃiahe ,-
Sleep,C ,-,-,-,-,-,-,-,-,-,ootʃe 
Die,A,miʔ  ,imiʔ ,imi ,?,imi ,imi ,imiʔ ,imi ,?,?
Kill,A ,paʔ ,paʔ ,pa ,tupab ,pa ,pa ,paʔ ,pa ,-,-
Kill,B ,-,-,-,-,-,-,-,-,tuakun ,tioakko 
Fight,A ,manaʔ,tamanaʔ,-,?,-,?,-,-,?,?
Fight,B ,mitʃitaʔ,-,-,?,-,?,-,-,?,?
Fight,C,-,-,aʃeremi ,?,-,?,-,arami je ,?,?
Fight,D ,-,-,-,?,eke,?,-,-,?,?
Fight,E ,-,-,-,?,-,?,-,jim ,?,?
Shoot,A ,hyry ,friʔ ,hiri ,?,-,-,puru ,puru ,?,?
Shoot,B ,-,-,-,?,-,tap ,-,-,?,?
Shoot,C ,-,-,-,?,keu ,-,-,-,?,?
Hit,A ,toʔ ,toʔ ,to ,tupan ,?,-,-,ton ,?,?
Hit,B ,-,pak ,-,-,?,pak ,pap ,-,?,?
Cut,A ,ta ,ta kat ,takat ,?,ta ,ta ,taʔ ,ta ,-,?
Cut,B ,wak ,wak ,-,?,-,-,wak ,wok ,-,?
Cut,C ,pit ,pit ,pit kiran ,?,-,-,-,-,pitʃiram ,?
Dig,A,tikiʔ ,tiki ,kit ,?,?,?,tuk ,-,?,?
Dig,B ,-,-,-,?,?,?,-,putum ,?,?
Swim,A ,-,jy ,ji ,?,-,?,-,-,-,?
Swim,B ,pan kam ,-,-,?,-,?,-,-,-,?
Swim,C ,-,-,-,?,he ,?,-,-,-,?
Swim,D ,-,-,-,?,-,?,-,kawak ,kawa ko ,?
Swim,E ,-,-,-,?,-,?,marakujan,-,-,?
Fly ,A ,takiʔ ,taki ,taki ,?,?,?,-,-,?,?
Fly ,B ,-,ijam ,-,?,?,?,-,-,?,?
Fly ,C ,-,-,-,?,?,?,ze ,ʒ̟e ,?,?
Walk,A , tʃyt ,tyt ,tit ,?,tet ,?,tot ,tut ,?,?
Come,A ,makiʔ ,maki ,-,?,?,makiʔ ,-,-,-,-
Come,B ,-,-,iwan ,?,?,-,iwan ,iwan ,-,-
Come,C ,-,-,-,?,?,-,-,-,mana ,-
Come,D ,-,-,-,?,?,-,-,-,-,nia
Lie,A ,teremʔ ,tim ,tarim ,-,trem ,wuritimi ,titimʔ ,-,-,-
Lie,B ,tokoʔ ,tokoʔ ,-,-,-,-,-,-,-,tʃekom 
Lie,C ,tak ,-,-,tak ,ta,-,-,ʒ̟ak ,-,-
Lie,D ,-,-,-,-,-,-,-,-,wa ,-
Sit,A ,peʔ ,pe,pe ,?,?,pi ,pe,pwe,pepe ,?
Stand,A ,tekiʔ pe ,-,?,?,?,?,tak ,taki ,tekipepe ,-
Stand,B ,-,pan ,?,?,?,?,-,-,-,-
Stand,C ,tʃat ,-,?,?,?,?,-,-,-,sed 
Fall,A ,panʔ ,ipan ,ipan ,?,-,ipad ,ipan ,ipan ,?,?
Fall,B ,kamaraʔ ,-,-,?,-,-,-,-,?,?
Give,A,miʔ ,miʔ ,min ,?,?,miʔ ,miʔ ,mi ,mi ,me 
Wash,A ,- ,wirikom ,irokon ,?,rokon ,?,-,-,?,?
Wash,B ,hohok ,-,-,?,-,?,-,-,?,?
Wash,C ,-,-, ʃawa ,?,-,?,tʃaw ,tʃaw ,?,?
Pull,A ,køk ,kok tBot ,?,?,?,?,ko ,ko ,?,?
Push,A ,jøk ,jyk ,jek ,?,?,?,jok ,-,?,?
Push,B ,-,-,-,?,?,?,-,tun ,?,?
Throw,A,tʃin ,sin ,ʃin ,?,?,?,-,-,?,?
Throw,B,-,-,-,?,?,?,pin ,pwin ,?,?
Tie,A ,pawʔ ,paw ,paw ,?,?,?,-,paw ,?,?
Tie,B ,-,-,-,?,?,?,pip ,pip ,?,?
Say,A ,tomiʔ ,-,-,-,?,?,-,-,timi ,tumi 
Say,B ,-,naʔ ,-,-,?,?,-,-,-,-
Say,C ,-,-,wanjam ,-,?,?,-,-,-,-
Say,D ,-,-,-,pa ,?,?,-,-,-,-
Say,E ,-,-,-,-,?,?,ja ,ja ,-,jajara 
Sing,A ,kom ,kom ,kum ,?,-,?,-,-,-,-
Sing,B ,-,-,-,?,haka ,?-,-,-,-,
Sing,C ,-,-,-,?,-,?,wo ,wo ki ,-,-
Sing,D ,-,-,-,?,-,-,-,atʃimara ,-,
Sun,A ,-,-,wapiru ,-,-,apito ,mapitoʔ ,mapwito ,wapuito ,papuitio 
Sun,B ,tʃina ,-,-,-,-,-,-,-,-,-
Sun,C ,-,-,-,kumen ,komem ,-,-,-,-,-
Sun,D ,-,fakamiʔ ,-,-,-,-,-,-,-,-
Moon,A ,panawoʔ ,-,panawoʔ ,panaoʔ ,panau ,panao ,panawoʔ ,panawoʔ ,panato ,pnato 
Star,A ,pijoʔ ,-,upijuʔ ,upijo ,upiu ,pipijo ,pi pijo ,pipijo ,wipijao ,pilʔahu 
Star,B ,-,oro jawin ,-,-,-,-,-,-,-,-
Water,A ,kom ,kom , kom ,kom ,ko ,kom ,kom ,kom ,akum ,ako 
Rain,A ,tʃowiʔ ,sowiʔ ,ʃuwiʔ ,sui ,soi ,-,-,tʃuwe ,-,-
Stone,A ,pakyn ,pekyn ,pekin ,pakyn ,paken ,pikun ,pikun,pikun ,pekun ,pikui 
Sand,A ,namaji ,namajiʔ ,nimajiʔ ,?,namajekun ,mijmaj ,-,mimaʒ̟ ,-,-
Sand,B ,-,-,-,?,-,-,-,-,umati ,mate
Earth,A ,makanʔ ,namakan ,namakan ,manaka ,manakan ,-,namakan ,namakan ,jamakan ,emakan 
Earth,B ,-,-,-,-,-,timak , timak ,timak ,tʃimak ,tʃema 
Sky,A ,nanawin ,awin ,awin ,awin ,awi ,awin ,awin ,awin ,awin ,awen 
Wind,A ,hotowa ,pafotiʔ ,pahotiʔ ,-,-,pahuzi,-,-,-,-
Wind,B ,-,-,-,kako,kaho ,- ,-,-,-,-
Wind,C ,-,-,-,-,-,-,pujani ,pujani ,-,-
Wind,D ,-,-,-,-,-,-,-,-,-,irin 
Smoke,A ,-,- ,iwi ,iwi ,iwi ,iwiʔ ,iwiʔ ,iwi ,?,?
Smoke,B ,taɲʔ ,-,-,-,-,-,-,-,?,?
Smoke,C ,-,torotoʔ ,-,-,-,-,-,-,?,?
Fire,A ,tʃe ,ise ,iʃeʔ ,ise ,ise ,iʃeʔ ,itʃe ,itʃe ,ise ,ise 
Ashes,A ,topakon ,morotipakon ,?,murupatekon ,burete pakon ,murooton ,?,rupitsikon ,?,?
Road ,A ,wana ,wanaʔ ,wanaʔ ,?,?,wana ,wana ,wana ,?,?
Red,A ,-,mem ,-,-,-,mëbn ,mem ,mem ,-,-
Red,B ,pakaʔ ,-,pakaɲikon ,-,-,-,-,-,-,-
Red,C ,-,-,-,tym ,temʔ ,-,-,-,-,-
Red,D ,-,-,-,-,-,-,-,-,tupatʃini ,tiopatʃene 
Yellow,A ,kotʃik ,-,-,?,?,-,-,-,-,-
Yellow,B ,-,-,-,?,?,-,-,sasik ,-,-
Yellow,C ,-,-,-,?,?,-,-,-,ituwi ,atʃiwi
White,A ,towoʔ ,towaʔ ,towa ,tua ,toa ,tuag ,towaʔ ,towa ,-,-
White,B ,-,-,-,-,-,-,-,-,tahuti ,tihoti 
Black,A ,mitʃem ,mesem ,-,-,-,morem,-,-,-,-
Black,B ,-,-,tukan ,-,-,-,-,-,-,-
Black,C ,-,-,-,skaid ,sagaj ,-,-,-,-,-
Black,D ,-,-,-,-,-,-,-,-,witam ,juitamake 
Black,E ,tom ,tom ,-,-,-,-,tom ,tom ,-,-
Night,A ,tʃim ,itim ,itim ,?,etimʔ ,ijsibm ,isim ,isim ,paitin ,paitin 
Day,A ,towa ,towa ,towa ,?,toa ,toa ,-,-,tuwa ,?
Day,B ,tʃek ,-,-,?,-,-,-,-,-,?
Day,C ,-,-,-,? ,-,anapat ,tipat ,tijipat ,-,?
Summer,A ,kawatʃiʔ ,kawatiʔ ,kawatiʔ ,?,?,?,kawaziʔ ,kawaʒ̟i ,?,?
Cold ,A ,tʃiw ,surimi ,-,siv ,?,siuni ,tʃiwʔ ,tʃiw ,?,?
Cold ,B ,-,-,kipin ,-,?,-,-,-,?,?
New,A,tʃokori,sokori,?,?,?,tukurudn,?,-,?,?
New,B,-,-,?,?,?,-,?,takan ,?,?
Old,A ,horon ,foron ,marahoron ,?,?,-,?,-,-,-
Old,B ,-,-,-,?,?,serati ,?,-,-,-
Old,C ,-,-,-,?,?,-,?,-,itarakun ,tarakon 
Old,D ,-,-,-,?,?,-,?,ukut ,-,-
Good,A ,awiʔ ,awi ,-,-,-,-,-,-,-,-
Good,B ,-,isap ,-,wasab ,asap ,-,-,-,nawasa ,navisaja 
Good,C ,-,-,ija ,-,-,-,namiʔ ,-,-,-
Good,D ,-,-,-,-,-,itera ,-,-,-,-
Good,E ,-,-,-,-,-,-,-,piriman ,-,-
Name,A ,witʃi  ,witi ,uwaw ,yvyty ,?,viti ,?,wit ,?,?
Afternoon,A ,irawin ,irawin ,irawin ,?,?,ireawidn ,irawin ,irawin ,?,?
